2.63394e+14, 35840958, 780324, 1840,80249, QSQR
2.70091e+14, 62762304, 862024, 1880,88161, MAGIC
2.8029e+14, 35611978, 1233332, 1863,124340, QSQR
2.80819e+14, 35262372, 1233332, 1863,124340, QSQR
3.02336e+14, 77600605, 906243, 1840,92467, MAGIC
3.13629e+15, 379934660, 5078237, 2048,503567, MAGIC
3.14966e+14, 82086881, 1015458, 1906,103447, MAGIC
3.31288e+13, 1, 303748, 1840,31739, QSQR
3.31288e+13, 1, 303748, 1842,31739, QSQR
3.32019e+13, 2, 320782, 1845,33352, QSQR
3.3209e+13, 2, 329009, 1860,34266, QSQR
3.32571e+13, 2, 385375, 1948,40435, QSQR
3.32751e+13, 3, 337816, 1848,34965, QSQR
3.3277e+13, 3, 339984, 1854,35221, QSQR
3.33637e+13, 4, 372810, 1867,38591, QSQR
3.41216e+13, 3, 381410, 1844,39207, QSQR
3.41947e+13, 4, 398444, 1855,40820, QSQR
3.46901e+13, 5, 436277, 1860,44446, QSQR
3.47046e+14, 59525822, 685148, 1840,70937, MAGIC
3.48726e+13, 2, 397524, 1948,41696, QSQR
3.51144e+13, 5, 459072, 1840,46675, QSQR
3.51144e+13, 5, 459072, 1846,46675, QSQR
3.51845e+13, 29, 789613, 1842,77924, QSQR
3.5521e+14, 178376726, 1776111, 1856,174518, MAGIC
3.61072e+13, 7, 536734, 1860,54143, QSQR
3.61072e+13, 7, 536734, 1864,54143, QSQR
3.77491e+14, 63450970, 1096099, 1858,110951, MAGIC
3.7772e+14, 51288107, 869680, 1840,88921, QSQR
3.79974e+14, 164810388, 1545886, 1840,151899, MAGIC
3.85868e+13, 12, 728357, 1840,72540, QSQR
3.94853e+14, 70591784, 1259350, 1859,127411, MAGIC
4.07409e+13, 18, 919777, 1904,90935, QSQR
4.22655e+14, 70874348, 1233332, 1863,124340, MAGIC
4.57257e+13, 28, 1353200, 1947,133461, QSQR
4.61938e+13, 7, 603971, 2028,61846, QSQR
4.61939e+13, 7, 603971, 2028,61846, QSQR
4.7961e+14, 37, 1972612, 1975,196085, QSQR
4.79701e+13, 7, 555004, 1986,56495, QSQR
4.8439e+14, 60402278, 1212697, 2203,126223, MAGIC
4.89145e+14, 71537195, 729367, 1840,75243, MAGIC
4.94103e+14, 75706588, 780324, 1840,80249, MAGIC
4.97108e+14, 64465726, 685148, 1840,70937, MAGIC
5.1023e+14, 75706588, 780324, 1840,80249, MAGIC
5.28253e+13, 34, 1554342, 1948,152730, QSQR
5.30324e+13, 14, 765617, 1840,76102, QSQR
5.32043e+14, 53883873, 729367, 1840,75243, QSQR
