1.38616e+15, 321331990, 499670, 95,70311, 2, MAGIC
1.50543e+14, 68304267, 123685, 133,18094, 2, QSQR
1.62954e+14, 215480722, 393492, 273,54750, 2, QSQR
1.65642e+14, 2, 240352, 1953,40987, 1, MAGIC
1.65642e+14, 3, 240352, 1953,40987, 1, QSQR
1.6741e+14, 33826380, 75624, 750,12386, 2, MAGIC
1.68603e+14, 235191178, 503030, 704,72664, 2, MAGIC
1.7295e+14, 27114192, 94105, 98,15456, 3, QSQR
1.82794e+14, 2, 240352, 1953,40987, 1, QSQR
1.82794e+14, 3, 240352, 1953,40987, 1, QSQR
1.92173e+14, 7, 336848, 3205,55389, 1, QSQR
1.92173e+14, 8, 336848, 3205,55389, 1, QSQR
2.11159e+14, 153586497, 281085, 204,39369, 2, MAGIC
2.40356e+14, 158, 1515073, 1056,209581, 1, QSQR
2.41796e+14, 227721474, 401843, 236,55643, 2, QSQR
2.43846e+14, 50035421, 94105, 98,15456, 2, QSQR
2.43847e+14, 50035475, 94105, 98,15456, 2, QSQR
2.43855e+14, 50035853, 94105, 98,15456, 2, QSQR
2.43864e+14, 50036285, 94105, 98,15456, 2, MAGIC
2.43872e+14, 50036663, 94105, 98,15456, 2, QSQR
2.43889e+14, 50037446, 94105, 98,15456, 2, QSQR
2.43896e+14, 50037797, 94105, 98,15456, 2, QSQR
2.4389e+14, 50037473, 94105, 98,15456, 2, QSQR
2.4389e+14, 50037500, 94105, 98,15456, 2, QSQR
2.43931e+14, 50039417, 94105, 98,15456, 2, QSQR
2.43966e+14, 50041091, 94105, 98,15456, 2, QSQR
2.43973e+14, 50041415, 94105, 98,15456, 2, QSQR
2.439e+14, 50037959, 94105, 98,15456, 2, QSQR
2.44087e+14, 50046815, 94105, 98,15456, 2, QSQR
2.44091e+14, 50047031, 94105, 98,15456, 2, QSQR
2.44104e+14, 50047625, 94105, 98,15456, 2, QSQR
2.44124e+14, 50048570, 94105, 98,15456, 2, QSQR
2.44141e+14, 50049353, 94105, 98,15456, 2, QSQR
2.44185e+14, 50050809, 94105, 98,15456, 2, QSQR
2.44195e+14, 50051945, 94105, 98,15456, 2, MAGIC
2.44234e+14, 50053754, 94105, 98,15456, 2, QSQR
2.44292e+14, 50056535, 94105, 98,15456, 2, QSQR
2.44301e+14, 50056940, 94105, 98,15456, 2, MAGIC
2.44309e+14, 50057345, 94105, 98,15456, 2, QSQR
2.44319e+14, 50057804, 94105, 98,15456, 2, QSQR
2.44451e+14, 50064041, 94105, 98,15456, 2, MAGIC
2.44546e+14, 50068550, 94105, 98,15456, 2, MAGIC
2.44623e+14, 50072195, 94105, 98,15456, 2, MAGIC
2.4498e+14, 50089097, 94105, 98,15456, 2, MAGIC
2.45219e+14, 50100383, 94105, 95,15456, 2, MAGIC
2.45446e+14, 50111129, 94105, 98,15456, 2, MAGIC
2.4606e+14, 50140208, 94105, 98,15456, 2, MAGIC
2.46172e+14, 50145500, 94105, 98,15456, 2, MAGIC
2.46502e+14, 50161106, 94105, 98,15456, 2, MAGIC
2.46739e+14, 50172338, 94105, 98,15456, 2, MAGIC
2.48389e+14, 50250368, 94105, 98,15456, 2, MAGIC
2.49645e+14, 50309795, 94105, 98,15456, 2, MAGIC
2.49891e+14, 50321432, 94105, 98,15456, 2, MAGIC
2.50432e+14, 50346974, 94105, 98,15456, 2, MAGIC
2.54223e+14, 45007970, 109773, 1865,17612, 2, MAGIC
2.60373e+14, 301088098, 669127, 1498,97272, 2, MAGIC
2.61815e+14, 161338292, 285652, 284,40456, 2, QSQR
2.94501e+14, 103338161, 165213, 231,23756, 2, QSQR
3.13342e+13, 1, 42550, 97,7123, 1, QSQR
3.13345e+13, 1, 42550, 97,7123, 1, QSQR
3.13346e+13, 1, 42550, 97,7123, 1, QSQR
3.13607e+13, 1, 42550, 97,7123, 1, QSQR
3.13906e+13, 2, 47857, 105,7883, 1, QSQR
3.15461e+13, 2, 47099, 101,7751, 1, QSQR
